"< Measurement Data Text Output >"
""
"Date/Time","@date()","649","650","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","ßC","","","","","",""
"2021/11/15 20:43'01","44515.8632060185","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:44'01","44515.8639004630","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:45'01","44515.8645949074","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:46'01","44515.8652893519","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:47'01","44515.8659837963","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:48'01","44515.8666782407","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:49'01","44515.8673726852","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:50'01","44515.8680671296","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:51'01","44515.8687615741","  25.2000","  25.2000","","","","","","",
"2021/11/15 20:52'01","44515.8694560185","  25.2000","  25.2000","","","","","","",
"2021/11/15 20:53'01","44515.8701504630","  25.2000","  25.2000","","","","","","",
"2021/11/15 20:54'01","44515.8708449074","  25.2000","  25.2000","","","","","","",
"2021/11/15 20:55'01","44515.8715393519","  25.2000","  25.2000","","","","","","",
"2021/11/15 20:56'01","44515.8722337963","  25.2000","  25.2000","","","","","","",
"2021/11/15 20:57'01","44515.8729282407","  25.2000","  25.2000","","","","","","",
"2021/11/15 20:58'01","44515.8736226852","  25.1000","  25.2000","","","","","","",
"2021/11/15 20:59'01","44515.8743171296","  25.1000","  25.2000","","","","","","",
"2021/11/15 21:00'01","44515.8750115741","  25.1000","  25.2000","","","","","","",
"2021/11/15 21:01'01","44515.8757060185","  25.1000","  25.2000","","","","","","",
"2021/11/15 21:02'01","44515.8764004630","  25.1000","  25.2000","","","","","","",
